ID,Section,Title,Description,Owner,Status,Due / Target Date,Awaiting BoD?,What HSM is waiting on BoD for,BoD Direction / Response,BoD Response Date,Notes / History,Last Updated,Updated By
1,Communication,Weekly reports — detailed topics / actions / timelines,"Reports must include specific details of topics reviewed, actions agreed to, and completion timelines.",HSM,In Progress,Ongoing,No,,,,"BoD requested revised format. HSM to implement.",2025-03-24,
2,Communication,Board meeting minutes — 7-day delivery + Buildium posting,"Minutes sent within 7 days of meeting for BoD approval, then posted to Buildium.",HSM,In Progress,7 days post-meeting,No,,,,, 2025-03-24,
3,Communication,Owner forum — in-person comment/question channel,"Owners need a monthly in-person forum to submit comments, questions, and concerns to BoD. Buildium platform adoption is low.",Joint,Not Started,,Yes,"BoD to decide: format (meeting slot vs. dedicated session), frequency, and Buildium adoption strategy.",,,"Only ~9 residents using Buildium as of 3/13.",2025-03-13,
4,Communication,Owner & tenant roster — form completion drive,"Working since 2/15. Only 9 residents submitted forms as of 3/13.",HSM,Overdue,Ongoing — stalled,Yes,BoD to consider issuing a deadline/reminder communication to all residents.,,,"HSM to provide updated count and outreach plan.",2025-03-13,
5,Financial,2026 monthly budget vs. 2025 comparison,HSM to develop 2026 monthly budget with side-by-side 2025 comparison.,HSM,Not Started,,No,,,,,2025-03-24,
6,Financial,Building insurance — comprehensive review of alternatives,Review and compare current policy against available alternatives for better coverage and cost.,HSM,Not Started,,No,,,,,2025-03-24,
7,Staffing,Building staffing plan document,Mark and HSM working together with Robin on a building staffing plan.,Joint,In Progress,,No,,,,"Active joint effort between BoD (Mark) and HSM.",2025-03-24,
8,Staffing,Digitized record-keeping transition,"Transition building staff from paper to digital. Includes automated package receiving and electronic resident reminders.",HSM,In Progress,,No,,,,"HSM agreed to implement. BoD to request timeline and platform selection.",2025-03-24,
9,Staffing,USPS mail distribution — post office contact,HSM agreed at Feb 10 meeting to contact USPS to have them distribute mail. As of March 24 not yet done.,HSM,Overdue,Agreed Feb 10,No,,,,"43 days since agreement. HSM must provide written update and resolution date.",2025-03-24,
10,Parking,Valet & white zone enforcement plan,"Active BoD duty. All staff must enforce valet parking rules and white zone clearance consistently.",Joint,In Progress,Ongoing,Yes,BoD to confirm enforcement protocols and communicate policy in writing to all building staff.,,,,2025-03-24,
11,BoD Action Items,House Rules and CC&R changes/additions,BoD working on revisions and additions to House Rules and CC&Rs.,BoD,In Progress,,No,,,,"Internal BoD action. HSM not yet involved.",2025-03-24,
12,BoD Action Items,Fee schedule — enforce / shorten / eliminate?,"Fee schedule exists on Buildium but has never been enforced. BoD must decide: keep, shorten, or eliminate.",BoD,Not Started,,Yes,BoD decision required: enforce current schedule / create shorter version / remove entirely.,,,,2025-03-24,
